company,Höegh LNG Partners LP
symbol,HMLP
month,5
day,29
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267068-hoegh-lng-partners-lp-hmlp-ceo-steffen-foreid-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Höegh LNG Partners LP (HMLP) CEO Steffen Føreid on Q1 2019 Results - Earnings Call Transcript</a>"
