company,Zosano Pharma
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222294-zosano-pharma-zsan-ceo-john-walker-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Zosano Pharma (ZSAN) CEO John Walker on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ZSAN
year,18
