company,Bilibili Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223771-bilibili-inc-bili-ceo-rui-chen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Bilibili Inc. (BILI) CEO Rui Chen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BILI
year,18
