company,Sundance Energy Australia
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4222975-sundance-energy-australia-snde-ceo-eric-mccrady-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sundance Energy Australia (SNDE) CEO Eric McCrady on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,SNDE
year,18
