company,United Utilities Group PLC
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223961-united-utilities-group-plc-uugry-ceo-steve-mogford-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United Utilities Group PLC (UUGRY) CEO Steve Mogford on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,UUGRY
year,18
