company,OHA Investment Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222540-oha-investment-corporation-ohai-ceo-steven-wayne-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">OHA Investment Corporation (OHAI) CEO Steven Wayne on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,OHAI
year,18
