company,Babcock International Group Plc
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4224120-babcock-international-group-plc-bckif-ceo-archie-bethel-q2-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Babcock International Group Plc (BCKIF) CEO Archie Bethel on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,BCKIF
year,18
