company,Verint Systems Inc.'s
symbol,VRNT
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267185-verint-systems-inc-s-vrnt-ceo-dan-bodner-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Verint Systems Inc.'s (VRNT) CEO Dan Bodner on Q1 2019 Results - Earnings Call Transcript</a>"
