company,Nordstrom's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222695-nordstroms-jwn-management-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nordstrom's (JWN) Management on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JWN
year,18
