company,X Financial
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223407-x-financial-xyf-ceo-yue-tang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">X Financial (XYF) CEO Yue Tang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,XYF
year,18
