company,"Workday, Inc."
symbol,WDAY
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266924-workday-inc-wday-ceo-aneel-bhusri-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Workday, Inc. (WDAY) CEO Aneel Bhusri on Q1 2020 Results - Earnings Call Transcript</a>"
