company,AeroVironment's
symbol,AVAV
month,6
day,25
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272118-aerovironments-avav-ceo-wahid-nawabi-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">AeroVironment's (AVAV) CEO Wahid Nawabi on Q4 2019 Results - Earnings Call Transcript</a>"
