company,"Patterson Companies, Inc."
symbol,PDCO
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272517-patterson-companies-inc-pdco-ceo-mark-walchirk-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Patterson Companies, Inc. (PDCO) CEO Mark Walchirk on Q4 2019 Results - Earnings Call Transcript</a>"
