company,"Purple Innovation, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222345-purple-innovation-inc-prpl-ceo-joe-megibow-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Purple Innovation, Inc. (PRPL) CEO Joe Megibow on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PRPL
year,18
